,storm,plan,river,removal_k10_g,removal_km_g,removal_k90_g,order,percentRest,sort_storm,sort_order,,
300,Q1,4th-100p,1-Apr,2838.6761,25835.5435,550593.55,4th,100,1,4,,
301,Q1,4th-20p,7-Jan,3.813975,34.72425,740.025,1st,20,1,4,,
302,Q1,4th-20p,2-Feb,10.83515625,98.6484375,2102.34375,2nd,20,1,4,,
303,Q1,4th-20p,1-Mar,48.1872375,438.719625,9349.7625,3rd,20,1,4,,
304,Q1,4th-20p,1-Apr,710.235845,6464.308775,137763.9575,4th,20,1,4,,
305,Q1,4th-40p,7-Jan,3.813975,34.72425,740.025,1st,40,1,4,,
306,Q1,4th-40p,2-Feb,10.83515625,98.6484375,2102.34375,2nd,40,1,4,,
307,Q1,4th-40p,1-Mar,48.1872375,438.719625,9349.7625,3rd,40,1,4,,
308,Q1,4th-40p,1-Apr,1117.25113,10170.35463,216745.2625,4th,40,1,4,,
309,Q1,4th-60p,7-Jan,3.813975,34.72425,740.025,1st,60,1,4,,
310,Q1,4th-60p,2-Feb,10.83515625,98.6484375,2102.34375,2nd,60,1,4,,
