reach,STA,profile,hr,min,RtopW_ft,LtopW_ft
1,138450,1-Sep-08,19,40,,
1,138450,1-Sep-08,19,45,,
1,138450,1-Sep-08,19,50,,
1,138450,1-Sep-08,19,55,,
1,138450,1-Sep-08,20,0,,
1,138450,1-Sep-08,20,5,,
1,138450,1-Sep-08,20,10,,
1,138450,1-Sep-08,20,15,,
1,138450,1-Sep-08,20,20,,
1,138450,1-Sep-08,20,25,,
1,138450,1-Sep-08,20,30,,
1,138450,1-Sep-08,20,35,,
1,138450,1-Sep-08,20,40,,
1,138450,1-Sep-08,20,45,,
1,138450,1-Sep-08,20,50,,
1,138450,1-Sep-08,20,55,,
1,138450,1-Sep-08,21,0,,
1,138450,1-Sep-08,21,5,,
1,138450,1-Sep-08,21,10,,
1,138450,1-Sep-08,21,15,,
1,138450,1-Sep-08,21,20,,
1,138450,1-Sep-08,21,25,,
1,138450,1-Sep-08,21,30,,
1,138450,1-Sep-08,21,35,,
1,138450,1-Sep-08,21,40,,
1,138450,1-Sep-08,21,45,,
1,138450,1-Sep-08,21,50,,
1,138450,1-Sep-08,21,55,,
1,138450,1-Sep-08,22,0,,
1,138450,1-Sep-08,22,5,,
1,138450,1-Sep-08,22,10,,
1,138450,1-Sep-08,22,15,,
1,138450,1-Sep-08,22,20,,
1,138450,1-Sep-08,22,25,,
1,138450,1-Sep-08,22,30,,
1,138450,1-Sep-08,22,35,,
1,138450,1-Sep-08,22,40,,
1,138450,1-Sep-08,22,45,,
1,138450,1-Sep-08,22,50,,
1,138450,1-Sep-08,22,55,,
1,138450,1-Sep-08,23,0,,
1,138450,1-Sep-08,23,5,,
1,138450,1-Sep-08,23,10,,
1,138450,1-Sep-08,23,15,,
1,138450,1-Sep-08,23,20,,
1,138450,1-Sep-08,23,25,,
1,138450,1-Sep-08,23,30,,
1,138450,1-Sep-08,23,35,,
1,138450,1-Sep-08,23,40,,
1,138450,1-Sep-08,23,45,,
1,138450,1-Sep-08,23,50,,
1,138450,1-Sep-08,23,55,,
1,138450,2-Sep-08,0,0,,
1,138450,2-Sep-08,0,5,,
1,138450,2-Sep-08,0,10,,
1,138450,2-Sep-08,0,15,,
1,138450,2-Sep-08,0,20,,
1,138450,2-Sep-08,0,25,,
1,138450,2-Sep-08,0,30,,
1,138450,2-Sep-08,0,35,,
1,138450,2-Sep-08,0,40,,
1,138450,2-Sep-08,0,45,,
1,138450,2-Sep-08,0,50,,
1,138450,2-Sep-08,0,55,,
1,138450,2-Sep-08,1,0,,
1,138450,2-Sep-08,1,5,,
1,138450,2-Sep-08,1,10,,
1,138450,2-Sep-08,1,15,,
1,138450,2-Sep-08,1,20,,
1,138450,2-Sep-08,1,25,,
1,138450,2-Sep-08,1,30,,
1,138450,2-Sep-08,1,35,,
1,138450,2-Sep-08,1,40,,
1,138450,2-Sep-08,1,45,,
1,138450,2-Sep-08,1,50,,
1,138450,2-Sep-08,1,55,,
1,138450,2-Sep-08,2,0,,
1,138450,2-Sep-08,2,5,,
1,138450,2-Sep-08,2,10,,
1,138450,2-Sep-08,2,15,,
1,138450,2-Sep-08,2,20,,
1,138450,2-Sep-08,2,25,,
1,138450,2-Sep-08,2,30,,
1,138450,2-Sep-08,2,35,,
1,138450,2-Sep-08,2,40,,
1,138450,2-Sep-08,2,45,,
1,138450,2-Sep-08,2,50,,
,,,,,,
